fd_id,firmzone,ground_elv,sqft,st_damcat,val_struct,cbfips,x,y
480932829,AE,4.29526493596077,2208.0,RES,325867.436,481677260002032,-94.91972803,29.227571676
480938084,VE,4.510921509356499,2071.0,RES,334798.918,481677238002069,-94.92810502,29.297903329
481002314,AE,11.570323384447098,1670.0,RES,202968.286,481677211004020,-95.02637539,29.475900002
481143430,AE,4.99999992846489,2901.0,RES,211655.769,481677236002007,-94.94625969,29.330677303
481167397,AE,9.838420420560837,1688.0,RES,211401.468,481677213004001,-95.07613947,29.537843783
480945930,AE,7.376114919862747,1894.0,RES,220811.965,481677261001126,-94.94165754,29.203444043
480977191,AE,9.14209656671524,1422.97,RES,53848.7633,481677211004015,-95.02478238,29.479738343
480913786,VE,7.956499913778305,1350.0,RES,193068.088,481677239002126,-94.696978,29.420762
480919544,AE,6.788806556816101,1272.58,RES,215244.44,481677246002043,-94.8097292,29.298178144
480932933,AE,4.996719326257706,1008.0,RES,154025.557,481677260002032,-94.90448109,29.237760161
481004251,VE,8.209999571218491,1263.0,RES,173693.182,481677261002027,-95.05306845,29.134486318
480892764,AE,5.938769202651978,4651.0,RES,395896.606,481677261002033,-95.03006904,29.15155244
480912670,VE,10.036196773271561,1290.0,RES,188780.063,481677239002030,-94.65149541,29.447309342
481127796,AE,5.057148425664901,1040.0,RES,156830.319,481677261001147,-94.97657666,29.182607447
480967328,AE,10.251310099592208,1361.0,RES,126146.279,481677232002027,-94.99562143,29.353432967
481076138,AE,24.25178376405716,4247.0,RES,420923.1,481677206001052,-95.1762125,29.438393
481109316,AE,18.519955324096678,2680.0,RES,271994.293,481677202002004,-95.19420654,29.533923099
480938259,AE,5.795094626684189,960.0,RES,88727.8233,481677218004007,-94.9263765,29.480967
480928285,VE,5.427401618094445,1830.0,RES,222077.153,481677260001020,-94.87894917,29.265975226
480946993,VE,5.151907689585686,1360.0,RES,222928.066,481677238002058,-94.91581167,29.298309216
480936651,VE,3.842229728298187,1198.0,RES,182943.366,481677238002065,-94.921415,29.2973765
480909869,VE,10.128146718444825,1260.0,RES,186486.303,481677239002025,-94.5789895,29.477726
481150529,AE,5.0395967345285415,810.0,RES,137250.851,481677261002104,-95.04632931,29.142171033
481007823,AE,11.465405126447678,2247.0,RES,264301.607,481677214003031,-95.04035505,29.530481696
481086259,AE,4.772917957801819,1344.0,RES,125328.404,481677242001015,-94.77079779,29.319363537
481123841,AE,7.145836043806076,2346.72,RES,317167.479,481677246002056,-94.81218895,29.295458803
481004369,AE,10.240090815505981,1458.0,RES,187088.612,481677215001007,-95.05891697,29.54757954
481022788,AE,5.00984447283268,1628.0,RES,206406.99,481677261002122,-95.08609578,29.111026398
481078487,AE,28.87297582530975,3358.0,RES,348269.64,481677201001005,-95.20283985,29.550917054
480923214,AE,4.996719326257706,1254.0,RES,173037.74,481677257001013,-94.839597,29.262491
481099440,AE,13.28509979007721,1381.0,RES,116518.635,481677211002021,-95.04175037,29.475583339
481169125,VE,5.126367254924774,1485.0,RES,189075.635,481677218003031,-94.9517513,29.473593763
481140396,VE,8.714256446580887,1272.0,RES,174340.267,481677261002116,-95.0509225,29.1355375
480966130,AE,4.92175866092205,600.0,RES,65449.152,481677237001011,-94.96478505,29.34044985
481101140,AE,10.13269137720108,2072.0,RES,233684.015,481677209002019,-95.068197,29.4490315
480992158,AE,13.870317297210693,1279.35,RES,49972.6647,481677209002028,-95.04622583,29.448766
481164271,AE,4.997248884601593,1060.0,RES,158518.14,481677260001020,-94.87338504,29.253998251
480981419,AE,11.335284741001129,2454.0,RES,186883.53,481677232002026,-94.99952663,29.353636394
481169131,VE,5.068469006361961,2478.0,RES,263090.776,481677218003031,-94.94862761,29.475704774
481086660,AE,7.791768940382004,2508.0,RES,172612.586,481677243003037,-94.7822925,29.306749
481111322,AE,10.352254714479447,1476.0,RES,132415.662,481677248001031,-94.79583904,29.291610714
480925612,AE,4.996719326257706,1938.0,RES,224056.238,481677257002011,-94.84500624,29.261595874
480935261,AE,13.413895888557434,562.0,RES,63979.8775,481677218001024,-94.91425226,29.492948369
480923010,AE,4.996719326257706,1363.0,RES,126241.239,481677258003048,-94.8374325,29.2776175
481013368,AE,10.362229497346878,1609.0,RES,139775.792,481677213004001,-95.07613597,29.538189691
480920034,AE,6.400189344830513,4633.57,RES,708715.497,481677246002024,-94.8119377,29.29803195
480940880,AE,4.935996505789757,1920.0,RES,227267.758,481677238003043,-94.93276705,29.326829722
480972247,AE,12.46105146985054,1526.0,RES,191990.222,481677210001003,-94.98692711,29.472434788
480906412,AO,14.419501370563507,3969.18,RES,492257.831,481677241012034,-94.8148555,29.275053
480959073,AE,4.470328945875168,1184.0,RES,100111.022,481677237001003,-94.95183314,29.336740331
481168726,AE,4.6134203818941115,1405.0,RES,128251.777,481677210001007,-95.01565214,29.46515365
481169975,AE,7.5819942192268375,3000.0,RES,485905.875,481677245001155,-94.79819425,29.300258329
480944914,AE,5.432367889771461,2471.0,RES,262666.296,481677261001018,-94.9375476,29.215869037
481137876,AE,4.996719326257706,2642.0,RES,196624.546,481677258001000,-94.84020389,29.273638167
481169965,AE,7.053607630729675,1225.0,RES,102137.621,481677246002007,-94.80645799,29.299517926
481001184,VE,1.5988116348874568,2167.0,RES,240225.697,481677261002066,-95.055548,29.140162666
480946075,VE,3.906673145904541,1196.0,RES,182805.436,481677238002058,-94.9152725,29.298138
480963158,AE,11.09533614522934,1484.0,RES,114736.196,481677237001032,-94.99535279,29.34546046
480948636,VE,4.997311852765083,1808.0,RES,214223.683,481677261001014,-94.94429242,29.220502524
480999196,AE,13.678681318206786,1648.0,RES,201096.116,481677209002003,-95.05469714,29.448197659
481004233,AE,3.015142900853157,1908.0,RES,221853.521,481677261002027,-95.06311316,29.136707279
480916165,VE,4.927821595520973,2768.0,RES,279089.335,481677239003014,-94.7693995,29.3797495
480987725,AE,11.096117576227188,2548.0,RES,298673.608,481677214003023,-95.044433,29.535481
480921526,AE,9.472680207252502,2108.0,RES,154404.75,481677254003009,-94.8225915,29.284786
480936709,VE,4.979247420868874,5219.0,RES,492366.305,481677238002065,-94.92208806,29.294858776
481117751,AE,14.081916921787261,2280.0,RES,178800.007,481677232002028,-94.99327696,29.355155763
481095635,AE,4.996719326257706,1350.0,RES,179598.222,481677261001152,-94.9790335,29.1859585
480914662,VE,4.927821595520973,648.0,RES,121731.177,481677239003006,-94.75248089,29.388379131
481149314,AE,6.220401940441132,448.0,RES,98397.7881,481677218003024,-94.939954,29.483027
